スーパーマリオ 64 (SM64) Beta Revival,Alpha Test,MrIsan1,,,スーパーマリオ 64 Beta Revival Alpha-Test SM64 Hack by Mrlsan1,
Mario's Nightmare 64,1.2 English,Apioeus,140,2012-07-26,Marios Nightmare 64 [v1.2],
Mario's Treasure Dome,Demo,Galacta,37,,Marios Treasure Dome Demo,
MARIO64,1.0,blakeoramo,,,MARIO64,
maze.z64,1.0,scuttlebug_raiser,1,,maze64,
Mechanical Madness 2,1.0,Cartucho,80,,Mechanical Madness 2,
Mechanical Madness 3,1.0,Cartucho,121,,Mechanical Madness 3 - New Bosses New Adventures,
Mechanical Madness 64,1.0,Cartucho,105,,Mechanical Madness 64,
Mediocre Stevie Donut Sidewalk,1.0,Real_RUBB3R,,,MediocreStevieDonutSidewalk,
Medium Island,1.0,scuttlebug_raiser,3,,medium_Island,
Mega Man 64,1.0,Team Cornersoft,,,MegaMan64V1.0,
Mega Microlevels,1.0,aglab2,0,,mega microlevels,
Melee Falco & Fox 64,1.0,PastaPower,,,Melee Falco & Fox 64,
Meme road,1.0,9fly,,,Meme road,
Meme Run 64,1.0,Kaze,,,Meme Run 64,
Mini Mario 64,BoB Demo,loohhoo,,2018-11-30,Mini Mario 64 BOB,
Mini Mario 64,1.0.1,loohhoo,120,2018-11-30,Mini Mario 64 1.0.1,
Missing Luigi Level Unused,1.0,Cartucho,13,2020-02-18,missing luigi level unused,SimpleFlips Competition 11
MJ's Touchy Fortress,1.0,Okiokurume,,,MJS TOUCHY FORTRESS,
Monochrome Mario 64,1.0,vinyboiler,7,,MonochromeMario64,
Mr. M 64,1.0,darrklink,,,Mr.M 64 U [!],
Mushroom Kingdom Stadium 64,1.0,Skelux,6,,Mushroom Kingdom Stadium 64,
My first rom hack,1.0,Cartucho,15,,my first rom hack,
Mystic Mountain,1.0,codgod66,,,Mystic Mountain,
NAF 64,1.0,Luigi120s,,,NAF 64,
Nerghrario 64,1.0,Nerghray,51,2018-07-05,Nerghrario 64,
NewSoup64,1.0,Tenimental,,2019-05-28,NewSoup64,SimpleFlips Competition 7
Night of Doom MASHUP,1.0 Beta,PixelSM64,,,Night of Doom Mashup Beta,
Night of Doom MASHUP,1.0,PixelSM64,7,,Night of Doom MASHUP V.1.0,
Night of Doom MASHUP,1.1,PixelSM64,14,,Night of Doom MASHUP V.1.1,
No speed limit 64,Normal,Eddio0141,120,,SM64 Insta-angle & No speed limit,
No speed limit 64,B-Speed,Eddio0141,120,,SM64 Insta-angle & No speed limit B,
OblivionWalker's Kaizo Trap,1.0 No Slidekicks,Kaze,1,,OblivionWalkers Kaizo Trap no Slidekicks,
Olmec's Hackerino,1.0,Olmec,40,,Olmecs Hackerino,
Operation: Christmas,1.0,Kaze & BroDute,7,,Operation Christmas,
Organ of Matrias,1.0,Kaze,9,2013-04-21,Organ of Matrias,SirRouven's Hack Pack
Other Entrance 64,1.0,Arthurtilly,3,,Other Entrance 64,
Palmsear Sands,1.0,sm64pie,28,,PalmsearSands,
Paper Mario House (for Machinimas),1.0,StupidMarioBros1Fan,,,Paper Mario House,
Parallel Stars,OW1 Demo,Funila,46,,Parallel Stars OW1 Demo,
Peach's Christmas Invitation,,Kaze,11,,Peachs Christmas Invitation,
Peach's Christmas Invitation,1.0,Kaze,11,2013-12-24,Peachs Christmas Invitation 2013-12-24 v1,
Peach's Christmas Invitation,2.0,Kaze,11,2014-11-01,Peachs Christmas Invitation 2014-11-01 v2,
PENGUIN,1.0.1,usernamesarespiders,,2018-10-18,PENGUIN,SimpleFlips Competition 3
Pewdiepie vs Tseries 64,1.0,Kaze,0,,Pewdiepie vs Tseries 64,
Pichu's Shitty Trials,1.0,The Ultimate Pichu,29,,Pichus Shitty Trials,
Pidi64's Adventures 64 - A Slippery Day,1.0,Pidi64,9,,Pidi64´s Adventures 64 - A Slippery Day V1.0,
Plants vs Zombies 64,1.0,Bubby64,7,,Plants vs Zombies 64,
Play as Kermit in Super Mario 64,1.0,Nexan,120,,Play AS Kermit in SUPER MARIO 64,
Play as Slender Man in Super Mario 64,HMC Greenscreen,StupidMarioBros1Fan,120,,Play as Slender Man in Super Mario 64 HMC Greenscreen,
Play as Slender Man in Super Mario 64,2.0,StupidMarioBros1Fan,120,,Play as Slender Man in Super Mario 64 2.0,
Play as Waluigi in Super Mario 64,1.0,(Kaze?),120,,Play as Waluigi,
Poorly Translated 64,1.0,Ethan White,120,,Poorly Translated 64,
Poorly Translated 64,2.0,Ethan White,120,,Poorly Translated 64 2.0,
Poorly Translated 64,Random Warps,Ethan White & (aglab2?),120,,Poorly Translated 64+randomizedwarps,
Portal 3,1.0,Kaze,30,2018-10-10,Portal 3,
Portal in SM64,1.0,Kaze,120,,Portal in SM64,
Portal Mario 64,1.0,Kaze,,,Portal Mario 64,
Prehistoric Fortress,1.0,Janja,,2018-12-26,PREHISTORIC FORTRESS,Janja Mini Hack Pack
Pumpkin Hills,Beta 1,Myles,,2018-11-03,pumpkinhillsbeta,SimpleFlips Competition 3
Pumpkin Hills,Beta 4,Myles,,2018-11-03,pumpkinhillsbeta4,SimpleFlips Competition 3
Pumpkin Hills,Beta 5,Myles,,2018-11-03,Pumpkin Hills Beta 5,SimpleFlips Competition 3
Pumpkin Hills,Release,Myles,,2018-11-03,Pumpkin Hills Release 1,SimpleFlips Competition 3
Purple Poison Paradise,1.0,Daniel_EDC,7,,Daniel_EDCs Hard Minihack,
Yoshi's Adventure 96: Puzzles for Yoshis,1.0,usernamesarespiders,39,2019-06-15,Puzzles for Yoshis,
Pyramid+Bitch,1.0,Sibley,1,,pyramid+bitch,
QSLGs Challenge,1.0.1,MBCollector672,8,2019-08-23,QSLGs_Challenge_v1.01,
QSLGs Challenge,1.0.2,MBCollector672,8,2019-09-01,QSLGs Challenge v1.02,
QSLGs Challenge,1.0,MBCollector672,8,2019-08-23,QSLGs_Challenge,
QSLGs Challenge,1.1,MBCollector672,8,2019-09-03,QSLGs Challenge V1.1,
Galacta' Birthday,1.0,Galacta,11,,QT!Sans Birthday,
Quicksand Ledge Grab Training,1.0,Redmat,3,,Quicksand Ledgegrab Training,
Rainbow Estence,1.0,ScyHigh,,,Rainbow estence,
Re-Tex64,1.0,Cypher123,,,Re-Tex64,
Realm of Dimensions,1.0,SomeBroYouDontKnow,5,,Realm of Dimensions,
Redacted Title 64,1.0,Factor64,,,RedactedTitle64,
Redacted Title 64,1.1,Factor64,,,RedactedTitle64v1.1,
Retarted Journey 69,1.0,Derpy Dude,,,Retarded Journey 69,
Return to Retroland,1.0,cpuHacka101,5,,Return To Retroland,
Revenge of the Others,1.0,FrittenFriseurLP,40,2015-09-11,Revenge of the others English,
Rewind Time 64,1.0,Cheezepin,,,Rewind Time 64,
Roast 64,1.0,blakeoramo,,,Roast 64 Unfinished 2016 Hack,
Robbie Rotten 64,Pre-Release,blakeoramo,,2018-08-30,Robbie Rotten 64,
Robbie Rotten 64,Release,blakeoramo,,2018-08-30,Robbie Rotten 64 official release,
Robert Enciso's 40 Subs Special,1.0,Robert Enciso,,,Robert Encisos 40 Subs Special,
Roblox 64,1.0,SkyNigh,1,,Roblox 64,
Roblox 64,1.1,SkyNigh,1,,Roblox 64 v1.1,
Robot Mario 64,1.0,Camden1101,,,Robot Mario 64,
Rock 64,1.0,FireMario74,,,Rock 64,
ROCK MY FORUM 64,1.0,blakeoramo,,,ROCK MY FORUM 64,
ROM Hack Time Challenges Round 1 [pack],,,,,ROM Hack Time Challenges Round 1,
ROM Hack Time Challenges Round 2 [pack],,,,,ROM Hack Time Challenges Round 2,
ROM Hack Time Challenges Round 3 [pack],,,,,ROM Hack Time Challenges Round 3,
ROM Hack Time Challenges Round 4 [pack],,,,,ROM Hack Time Challenges Round 4,
ROM Hack Time Challenges Round 5 [pack],,,,,ROM Hack Time Challenges Round 5,
ROM Hack Time Challenges Round 6 [pack],,,,,ROM Hack Time Challenges Round 6,
Rot ist Tot,1.0 Deutsch,blackshadowdrybones,135,,Rot ist Tot Deutsch,
Rot ist Tot,1.1 (unofficial),blackshadowdry & UsernamesAreHard74,135,,Red is Dead 1.1,
Rot ist Tot,1.0 English,blackshadowdrybones,135,,Rot ist Tot English Red is Dead,
Rot ist Tot Extrem,1.1 English,blackshadowdrybones,136,,Rot ist Tot extrem,
Rot ist Tot Extrem,1.1 Deutsch,blackshadowdrybones,136,,Rot ist Tot extrem UPDATED Version,
Samsung 64,1.0,Mushie64 & Tomatobird8,1,,Samsung 64 1.0,
Samsung 64,3.0,Mushie64 & Tomatobird8,1,,Samsung 64 3.0,
Sanae Valley,1.0,BroDute,6,2016-04-01,Sanae Valley,SirRouven's Hack Pack
Sand Hill 64,1.1,Miles,1,,Sand Hill 64 v1.1,
Sandy Spire Slide,1.0,usernamesarespiders,5,2018-07-18,Sandy Spire Slide,
Sandy Spire Slide,1.1,usernamesarespiders,5,2018-07-18,Sandy Spire Slide v1.1,
Sans' Dream,1.0,Galacta,,,Sans Dream,
Sauper Merio 73,1.2,Mayro_777,,,Sauper Merio 73 1.2,
Scrooge 64,English,Kinopio,4,,Scrooge 64,
Scrooge 64,Italian,Kinopio,4,,Scrooge 64 - Christmas Special Ita,
Scuffed 64,0.1 Demo Pre-Alpha,mrplayer1234,,,Scuffed 64 V0.1 demo pre alpha,
Scuttle Speedhack,1.0,scuttlebug_raiser,4,,scuttle_speedhack,
scuttlebug_raiser's Special Penguin Halloween Hack,1.0,scuttlebug_raiser,1,,scuttlebug_raiser Special Halloween Hack,
Seaside Town,1.0,BroDute,6,2015-09-22,Seaside Town,SirRouven's Hack Pack
Seaside Town,1.1,BroDute,6,2018-12-20,Seaside Town v1.1,
Seaside Village,1.0,Nexan,7,,Seaside Village,
Shining Stars 1.5 Dim Stars,Demo,sm64pie,19,,Shining Stars 1.5 Dim Stars Demo,
Shining Stars 2: Mirror Madness,Demo,sm64pie,36,,Super Mario Shining Stars 2 - Mirror Madness Demo,
Shining Stars 2: Mirror Madness,,sm64pie,122,2015-03-10,SS2MM,
Shining Stars 2: Mirror Madness,1.0,sm64pie,122,2015-03-10,SS2MM10,
Shining Stars 2: Mirror Madness,1.7,sm64pie,122,2015-03-10,SS2MM17,
Shining Stars 2: Mirror Madness,4.1,sm64pie,122,2015-03-10,SS2MM4.1,
Shining Stars 2.5: Return of the Mirror Illusion,Demo,sm64pie,4,,SS2.5 Return of the Mirror Illusion demo,
Shining Stars 3: Sanctuary of the Star Comet,Demo 1,sm64pie,10,,SS3SotSCdemo1,
Shining Stars 3: Sanctuary of the Star Comet,Demo 2,sm64pie,4,,SS3SotSCdemo2,
Shining Stars 3: Sanctuary of the Star Comet,Pre-Release for SRM,sm64pie,132,,SS3 Sanctuary of the Star Comet Pre 1.0 Race,
Shining Stars 3: Sanctuary of the Star Comet,,sm64pie,132,,SS3SotSC,
Shining Stars 3: Sanctuary of the Star Comet,1.0,sm64pie,132,2017-08-01,Shining Stars 3 Sanctuary of the Star Comet v1.0,
Shining Stars 3: Sanctuary of the Star Comet,1.2,sm64pie,132,2017-08-01,Shining Stars 3 Sanctuary of the Star Comet v1.2,
Shining Stars 3: Sanctuary of the Star Comet,1.3.1,sm64pie,132,2017-08-01,Shining Stars 3 Sanctuary of the Star Comet v1.3.1,
Shining Stars 3: Sanctuary of the Star Comet,1.3,sm64pie,132,2017-08-01,Shining Stars 3 Sanctuary of the Star Comet v1.3,
Shining Stars 3: Sanctuary of the Star Comet,2.0 Optimized,pieordie1 & aglab2,132,2017-08-01,SS3SotSC-opt,
Shining Stars 3: Sanctuary of the Star Comet,2.0,sm64pie,132,2017-08-01,SS3SotSC2.0,
Shining Stars 3.5: Green Demon Challenge,1.0,sm64pie,6,,SS35GDC,
Shizue 64,1.2,AloXado,120,,Shizue 64 1.2 Japan,
Shrek 64,1.0,blakeoramo,,,Shrek 64,
Shrek 64,1.1,blakeoramo,,,Shrek 64 1.1,
Shrek 64 2,1.0,blakeoramo,,,Shrek 64 2,
Shyrate Desert,1.0,Dan-GPTV,7,,Shyrate Desert,
Silent Hill 64,1.0,Apioeus,6,2016-05-05,Silent Hill,SirRouven's Hack Pack
Silver Heavenly Castle,1.0,22neptun,13,2016-05-05,Silver Heavenly Castle,SirRouven's Hack Pack
SimpleFlips' 10th Hacking Competition [pack] (Halloween 2019),,,,,SimpleflipsCompetition10,
SimpleFlips' 1st Hacking Competition [pack] (Nathaniel Bandy),,,,,SimpleflipsCompetition1,
SimpleFlips' 2nd Hacking Competition [pack] (Slide),,,,,SimpleflipsCompetition2,
SimpleFlips' 3rd Hacking Competition [pack] (Halloween 2018),,,,,SimpleflipsCompetition3,
SimpleFlips' 4th Hacking Competition [pack] (Reimagined),,,,,SimpleflipsCompetition4,
SimpleFlips' 5th Hacking Competition [pack] (Christmas 2018),,,,,SimpleflipsCompetition5,
SimpleFlips' 6th Hacking Competition [pack] (Troll),,,,,SimpleflipsCompetition6,
SimpleFlips' 7th Hacking Competition [pack] (Retro),,,,,SimpleflipsCompetition7,
SimpleFlips' 8th Hacking Competition [pack] (Creepypasta),,,,,SimpleflipsCompetition8,
SimpleFlips' 9th Hacking Competition [pack] (Linear),,,,,SimpleflipsCompetition9,
SirRouven's Hack Pack (ReadmeFiles + Patches ONLY) [pack],,,,,SirRouvenPatches+TextOnly,
SKELUXXX Classics Pack [pack],,blakeoramo,,,SKELUXXX Classics Pack - Patch Versions,
Sky Level (1st Custom),1.0,Camden1101,,,Sky Level,
Skyscraper City,1.0,Redmat,7,,Skyscraper City,
Skyshroom Garden,1.0,Ottowillern,,,Skyshroom Garden,
Slide Battlefield,1.0,frauber,,,Slide Battlefield,
SM64 - New Stars,1.0,Cartucho,121,,SM64 - New Stars,
SM64 1-1 Grass,1.0,MarvMario,4,,1-1 Grass,
SM64 2 Bowser's Revenge,Demo 1,StupidMarioBros1Fan,30,,SM64 2 Bowsers Revenge DEMO 1,
SM64 2 Bowser's Revenge,Demo 2 for Machinima,StupidMarioBros1Fan,30,,SM64 2 Bowsers Revenge DEMO 2 - For Machinimas and other SM64 videos,
SM64 2 Bowser's Revenge,Demo 2 Luigi,StupidMarioBros1Fan,30,,SM64 2 Bowsers Revenge DEMO 2 - Luigi,
SM64 2 Bowser's Revenge,Demo 2 Mario,StupidMarioBros1Fan,30,,SM64 2 Bowsers Revenge DEMO 2 - Mario,
SM64 A New Kingdom,Demo,ProRevolution128,,,SM64 - A New Kingdom,
SM64 All Levels in One (Battle Royale),1.0,Kaze,,,All levels in one,
SM64 Another Castle,Demo,Epicwade,43,,sm64acdemo,
SM64 Astral Dimension,1.0,MrCountryfruit,7,2014-06-13,AstralDimension,SirRouven's Hack Pack
SM64 Autoscroller,1.0,Kaze,1,,SM64 Autoscroller,
SM64 Bingo,0.1a,Quate32,,2019-04-15,bingo64.0.1a,
SM64 Bingo,0.2a,Quate32,,2019-04-22,bingo64.0.2a,
SM64 Bingo,0.3a,Quate32,,2019-04-25,bingo64.0.3a,
SM64 Bingo,0.4a,Quate32,,2019-05-05,bingo64.0.4a,
SM64 Bingo,0.5a,Quate32,,2019-05-11,bingo64.0.5a,
SM64 Bingo,0.5b,Quate32,,2019-09-03,bingo64.0.5b,
SM64 The Black Virus,0.0 Demo,NormalX71,,,SM64 The Black Virus DEMO v.0.0,
SM64 Blue Star Adventure,1.0,Bubby64,145,2017-05-27,SM64 Blue Star Adventure,
SM64 Blue Star Adventure,1.1,Bubby64,145,2017-05-27,SM64 Blue Star Adventure v1.1,
SM64 Blue Star Adventure,1.2,Bubby64,145,2017-05-27,SM64 Blue Star Adventure v1.2,
SM64 Blue Star Adventure,1.3,Bubby64,145,2017-05-27,SM64 Blue Star Adventure v1.3,
SM64 Blue Star Adventure,1.4,Bubby64,145,2017-05-27,SM64 Blue Star Adventure v1.4,
SM64 Blue Star Adventure,1.5 Deluxe,Bubby64,145,2017-05-27,SM64 Blue Star Adventure 1.5 Deluxe,
SM64 BlueRed,1.0,Caasje,17,2019-09-11,sm64 BlueRed,
SM64 Bob Omb Richard,1.0 Deutsch,MrMarioTendo,53,,SM64 Bob Omb Richard v1.0 Dut,
SM64 Bob Omb Richard,1.0 English,MrMarioTendo,53,,SM64 Bob Omb Richard v1.0 Dut [T+Eng],
SM64 Bob Omb Richard,1.1 Deutsch,MrMarioTendo,53,,SM64 Bob-Omb Richard v1.1 Ger [T+Eng],
SM64 Boonster's Peril,1.0.1,LinCrash,9,,Super Mario Boonsters Peril C3 2015-06-28 v1.0.1,SirRouven's Hack Pack
SM64 Boonster's Peril,1.0.2,LinCrash,9,,Super Mario Boonsters Peril 2015-07-14 v1.0.2,SirRouven's Hack Pack
SM64 Boonster's Peril,1.0,LinCrash,9,,Super Mario Boonsters Peril C3 2015-06-27 v1,SirRouven's Hack Pack
SM64 Bowser's Intense Challenge,Demo,Davidholanda1,1,,SM64 Bowsers Intense Challenges DEMO,
SM64 Bungle Trouble,Demo 1.0,Nutta,7,,SM64 BT Demo 1.0,
SM64 Bungle Trouble Unused Levels,1.0,Nutta,11,,Super Mario 64 Bungle Trouble Unused Leves,
SM64 But Its Mostly Coins,1.0,Rairai,120,2019-01-25,SM64ButMostOfItIsCoinsReady,
SM64 Butterfly Edition,1.0,Kaze,,,SM64 Butterfly Edition,
SM64 Chaos Castle,1.0,Galacta,35,,SM64 Chaos Castle,
SM64 Chaos Edition,1.0,Kaze,120,,SM64 Chaos Edition,
SM64 Chaos Edition,1.1,Kaze,120,,SM64 Chaos Edition V1.1,
SM64 Chaos Edition,1.2,Kaze,120,,SM64 Chaos Edition V1.2,
SM64 Chaos Edition,1.3,Kaze,120,,SM64 Chaos Edition V1.3,
SM64 Chaos Edition,1.4,Kaze,120,,SM64 Chaos Edition V1.4,
SM64 Chaos Edition,1.5,Kaze,120,,SM64 Chaos Edition V1.5,
SM64 Chaos Edition,2.0,Kaze,120,,SM64 Chaos Edition V2.0,
SM64 Christmas 2012,1.0,Kampel125,3,,SM64 Christmas 2012,
SM64 Christmas Land,1.0,Fares242,6,,SM64 Christmas Land,
SM64 Classic Fusion,Demo,ArtismScrub,,,SM64 Classic Fusion DEMO,
SM64 Cypher Edition,0.8.5,Cypher,,,SM64 Cypher Edition 0.8.5,
SM64 Cypher Edition,0.8,Cypher,,,SM64 Cypher Edition 0.8,
SM64 Cypher Edition,1.0,Cypher,,,SM64 Cypher Edition 1.0,
SM64 Diamond Air,1.0,Tomatobird8,7,,SM64 Diamond Air,
SM64 Extreme Edition (by Kaze),1.0,Kaze,,,SM64 Extreme Edition,
SM64 FLJ Mod,1.0,blakeoramo,,,SM64FLJ-Mod,
SM64 Forever - BLJ Control,1.0,Tomatobird8,2,,SM64 Forever - BLJ Control,
SM64 geSEGKt,1.0,BroDute,65,,SM64 Gesekt,
SM64 Ghost Race (All Versions) [pack],,Kaze,,,SM64 Ghost Race pack,
SM64 Ghost Race,1.1,Kaze,,,SM64 Ghost Race 1.1,Ghost Race Pack
SM64 Gloomy Gully,1.0,cpuHacka101,,,GloomyGully,
SM64 Grand Star,Demo 1,MarioGame2222,43,,SM64 Grand Star Demo1,
SM64 Green Demon Challenge,Beta 1,IngoH,,,Green Demon Challenge Beta1,
SM64 Green Demon Challenge,Beta 2,IngoH,,,Green Demon Challenge Beta2,
SM64 Green Demon Challenge,1.0,IngoH,,,Green Demon Challenge 1.0,
SM64 Green Demon Challenge,1.1,IngoH,,,Green Demon Challenge 1.1,
SM64 Green Demon Challenge,1.2,IngoH,,,Green Demon Challenge 1.2,
SM64 Green Demon Challenge,1.3,IngoH,,,Green Demon Challenge 1.3,
SM64 Green Demon Challenge,1.4,IngoH,,,Green Demon Challenge 1.4,
SM64 Hack (by Xane),1.0,Xane,14,,Super Mario 64 Hack,
SM64 Halloween Hack (new),1.0,blakeoramo,,,SM64 Halloween Hack new,
SM64 Halloween Mayhem,1.0,Kaze & Kinopio,8,,SM64 Halloween Mayhem,
SM64 HD 60 FPS,BoB Demo,Kaze,,,SM64 HD Bob Omb Battlefield,
SM64 Hidden Stars,1.0,MarvMario,,,SM 64 Hidden Stars,
SM64 Imprisoned Stars,Demo,sizzlingmario4,42,2016-06-26,SM64 Imprisoned Stars DEMO,
SM64 Infinity Gauntlet,1.0,Kaze,120,,Mario 64 Infinity Gauntlet,
SM64 Insane Edition,Demo,Rapitor,7,,SM64 Insane demo,
SM64 Insane Edition,1.0.1,Rapitor,7,,SM64 IE First official release V.1.01,
SM64 Insane Edition,1.0,Rapitor,7,,SM64 IE First official release V.1.0,
SM64 Interstellar - Legacy,1.0,Rovert,22,,SM64 Interstellar - Legacy,
SM64 Jodie Edition,Alpha,Marcelxbla2,,,SM64 Jodie Edition Alpha,
SM64 Last Impact,Early Beta,Kaze,,,SM64 Last Impact Beta earliest,
SM64 Last Impact,Beta 1.0,Kaze,,,SM64 Last Impact Beta v1.0,
SM64 Last Impact,Beta 1.1,Kaze,,,SM64 Last Impact Beta 1.1,
SM64 Last Impact,Beta 2.0,Kaze,,,SM64 Last Impact Beta 2.0,
SM64 Last Impact,Demo (April Fools),Kaze,,,SM64 Last Impact demo,
SM64 Last Impact,1.0 Widescreen,Kaze,130,2016-09-30,SM64 Last Impact widescreen,
SM64 Last Impact,1.0,Kaze,130,2016-09-30,SM64 Last Impact,
SM64 Last Impact,1.1 Widescreen,Kaze,130,2016-09-30,SM64 Last Impact widescreen V1.1,
SM64 Last Impact,1.1 Choir Edition,Kaze & mario 135790,130,,SM64 Last Impact - Choir Edition,
SM64 Last Impact,1.1,Kaze,130,2016-09-30,SM64 Last Impact V1.1,
SM64 Last Impact,1.2,Kaze,130,2016-09-30,SM64 Last Impact 1.2,
SM64 Legend of the Stars,Demo,MCMania332,14,,SM64 - Legend of the Stars,
SM64 Light or Dark,1.0,Byraito,15,,SM64 Light or Dark v1.0,
SM64 Lost Universe - Curse of Kappowser,1.0,Bubby64,24,2018-03-03,SM64 Lost Universe - Curse of Kappowser Final,
SM64 Lost Universe - Curse of Kappowser,1.1,Bubby64,24,2018-03-03,SM64 Lost Universe - Curse of Kappowser 1.1 Final,
SM64 Lost Universe 1.5 Kappowser's Legacy,0.12,ShiN3 & Bubby64,20,2018-08-13,Lost Universe 1.5 v0.12,
SM64 Lost Universe 1.5 Kappowser's Legacy,0.121,ShiN3 & Bubby64,20,2018-08-13,Lost Universe 1.5 v0.121 bps,
SM64 Lost Universe 1.5 Kappowser's Legacy,0.31,ShiN3 & Bubby64,50,2018-08-31,Lost Universe 1.5 v0.31,
SM64 Lost Universe 1.5 Kappowser's Legacy,0.32,ShiN3 & Bubby64,50,2018-09-01,Lost Universe 1.5 v0.32,
SM64 Lost Universe 1.5 Kappowser's Legacy,0.7,ShiN3 & Bubby64,91,2018-10-18,Lost Universe 1.5 v0.7,
SM64 Lost Universe 1.5 Kappowser's Legacy,0.75,ShiN3 & Bubby64,91,2019-06-26,Lost Universe 1.5 v0.75,
SM64 Lost Universe 1.5 Kappowser's Legacy,1.0.1,ShiN3 & Bubby64,163,2020-01-30,Lost Universe 1.5 Kappowsers Legacy v1.0.1,
SM64 Lost Universe 1.5 Kappowser's Legacy,1.0.2,ShiN3 & Bubby64,163,2020-02-03,Lost Universe 1.5 v1.0.2 patch,
SM64 Lost Universe 1.5 Kappowser's Legacy,1.0,ShiN3 & Bubby64,163,2020-01-29,Lost Universe 1.5 Kappowsers Legacy v1.0,
SM64 Lost Universe 1.5 Kappowser's Legacy,1.1,ShiN3 & Bubby64,168,2020-03-18,Lost Universe 1.5 Kappowsers Legacy v1.1,
SM64 Lost Universe 2 - The Nightmare Expansion,Demo 1,Bubby64,,,SM64 Lost Universe 2 The Nightmare Expansion Demo,
SM64 Lost Universe 2 - The Nightmare Expansion,Demo 2,Bubby64,,,SM64_Lost_Universe_2_-_The_Nightmare_Expansion_Demo_2,
SM64 Lost Universe 2 - The Nightmare Expansion,Demo 3,Bubby64,,,SM64_Lost_Universe_2_-_The_Nightmare_Expansion_Demo_3,
SM64 M4m4 voices,1.0,M4m4,,,SM64 M4m4 voices,
SM64 Madness,1.0,Kaze,122,2012-11-01,SM 64 MADNESS,
SM64 Master Quest,1.0,Cavin856,120,,SM64 Master Quest,
SM64 Master Quest 2 - The Adventure Home,Beta 1,Cavin856,120,,SM64 Master Quest 2 - The Adventure Home,
SM64 Master Quest 2 - The Adventure Home,Beta 2,Cavin856,120,,SM64 Master Quest 2 - The Adventure Home Fixed,
SM64 Masters Challenge,Beta 052717,TheGael95,,,SM64 Masters Challenge 052717 Beta,
SM64 Masters Challenge,1.0,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.0,
SM64 Masters Challenge,1.0a,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.0a,
SM64 Masters Challenge,1.0b,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.0b,
SM64 Masters Challenge,1.0c,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.0c,
SM64 Masters Challenge,1.1,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.1,
SM64 Masters Challenge,1.1a,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.1a,
SM64 Masters Challenge,1.1b,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.1b,
SM64 Masters Challenge,1.1c,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.1c,
SM64 Masters Challenge,1.1d,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.1d,
SM64 Masters Challenge,1.1e,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.1e,
SM64 Masters Challenge,1.1f,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.1f,
SM64 Masters Challenge,1.1g,TheGael95,90,2018-02-26,SM64 Masters Challenge v1.1g,
SM64 Masters Challenge,2.0,TheGael95,101,2018-02-26,SM64 Masters Challenge v2.0 The Tiny-Huge Update,
SM64 Masters Challenge,2.1,TheGael95,101,2018-02-26,SM64 Masters Challenge v2.1 The Tiny-Huge Update - hotfix,
SM64 Masters Challenge,2.1a,TheGael95 & WWMResident,101,2018-02-26,SM64 Masters Challenge v2.1a,
SM64 Masters Challenge,2.1b,TheGael95 & WWMResident,101,2018-02-26,SM64 Masters Challenge v2.1b,
SM64 Masters Challenge,2.1c,TheGael95 & WWMResident,101,2018-02-26,SM64 Masters Challenge v2.1c,
SM64 MIWS 2,1.0,blackshadowdrybones,,,sm64 MIWS 2,
SM64 Multiplayer,1.2,Skelux,120,,SM64 Multiplayer 1.2,
SM64 Multiplayer,1.3.1,Skelux,120,,SM64 Multiplayer 1.3.1,
SM64 Multiplayer,1.3,Skelux,120,,SM64 Multiplayer 1.3,
SM64 Multiplayer,1.4.2,Skelux,120,,SM64 Multiplayer 1.4.2,
SM64 Mystery Stupid Edition Teaser,Demo 1.1,Teraunce,8,2019-07-31,SM64 Mystery Stupid Edition Teaser Demo 1.1,
SM64 Mystery Stupid Edition Teaser,Demo 1,Teraunce,,,SM64 Mystery Stupid Edition Teaser Demo 1 No Star Saves,
SM64 New Generation,0.1 Deutsch,ThefastNero,,,SM64 New Generation v0.1.0 Deu,
SM64 New Generation,0.1 English,ThefastNero,,,SM64 New Generation v0.1.0 English,
SM64 New Generation,0.1 Francais,ThefastNero,,,SM64 New Generation v0.1.0 Francais,
SM64 Ocarina of Time,Latest,Kaze,171,2018-03-26,SM64 Ocarina of Time latest as of 080818,
SM64 Ocarina of Time,Mariocam Patch,Kaze,171,2018-03-26,sm64-oot-test-bouncy,
SM64 Ocarina of Time,Older,Kaze,171,2018-03-26,SM64 Ocarina of Time oldoldV,
SM64 Ocarina of Time,Old,Kaze,171,2018-03-26,SM64 Ocarina of Time oldV,
SM64 Openworld Edition,1.0 Initial Release,TheGael95,121,,SM64 Openworld Edition v1.0 og release,
SM64 Openworld Edition,1.0,TheGael95,121,,Super Mario 64 - Openworld Edition 1.0,
