スーパーマリオ 64 (SM64) Beta Revival,Alpha Test,MrIsan1,,,スーパーマリオ 64 Beta Revival Alpha-Test SM64 Hack by Mrlsan1,
Kraft Dinner 64,0.1.6,Ninja Weedle 64,,,Kraft Dinner 64 V0.1.6,
Kraft Dinner 64,0.1.7,Ninja Weedle 64,,,Kraft Dinner 64 V0.1.7,
Leo Luster 64,1.0,PastaPower,,,LeoLuster64,
Lets Plant A Tree,1.0,Kaze,,,Lets Plant A Tree,
Light Dark,1.0,ToasterKetchup & QazPod,8,,Light Dark 1.0,
Light Dark,1.1,ToasterKetchup & QazPod,8,,Light Dark 1.1,
Lonely Holidays,1.0,Kaze,7,2013-08-02,Lonely Holidays,
Luigi and the Forest Ruins 64,Release,TheGael95,47,,Luigi and the Forest Ruins First Release,
Luigi and the Forest Ruins 64,Revision 1,TheGael95,47,,Luigi and the Forest Ruins Revision 1,
Luigi and the Forest Ruins 64,,TheGael95,47,,Luigi and the Forest Ruins,
Luigi and the Forest Ruins 64 Multiplayer,Beta,TheGael95,47,,Luigi and the Forest Ruins - Multiplayer Edition Beta,
Luigi and the Forest Ruins Rebooted,,LinCrash & TheGael95,40,2016-09-10,LATFR Rebooted,
Luigi and the Forest Ruins Rebooted,1.5,LinCrash & TheGael95,40,2016-09-10,LATFR Rebooted 1.5,
Luigi and the Forest Ruins Rebooted,2.0,LinCrash & TheGael95,40,2016-09-10,Forest Ruins Rebooted 2.0,
Luigi and the Forest Ruins Rebooted,3.0,LinCrash & TheGael95,40,2016-09-10,LATFR Rebooted v3.0,
Luigi and the Forest Ruins Rebooted,3.1.1,LinCrash & TheGael95,40,2016-09-10,LATFR Rebooted v3.1.1,
Luigi and the Violet Stars,,usernamesarespiders,136,2017-03-20,The Violet Stars,
Luigi and the Violet Stars,1.0,usernamesarespiders,136,2017-03-20,The Violet Stars 1.0,
Luigi and the Violet Stars,1.2b,usernamesarespiders,136,2017-03-20,Luigi & The Violet Stars 1.2b,
Luigi Before the Egg 64,1.0.1,blakeoramo,2,,Luigi Before the Egg 64 Hotfix 1.01,
Luigi Before the Egg 64,1.0,blakeoramo,2,,Luigi Before the Egg 64,
Luigi Before the Egg DX,1.1,blakeoramo,,,Luigi Before the Egg DX 1.1,
Luigi's Mansion 64 (by Donald),Alpha 032913,Donaldthescotishtwin,,,Luigis Mansion 64 Alpha 2013-03-29,
Luigi's Mansion 64 (by Marce),Demo 1,Marce,,,Luigi´s Mansion 64 Demo 1,
Luigi's Mansion 64 (by Marce),Demo 2,Marce,,,Luigi´s Mansion 64 Demo 2,
Luigi's Mansion 64 (by Marce),Demo 3,Marce,,,Luigi´s Mansion 64 Demo 3,
Luigi's Mansion 64 Multiplayer (by Donald),,Donaldthescotishtwin,,,Luigis Mansion 64 Multiplayer,
Luigi's Mansion 64 (by unknow),0.41,unknow,,,Luigis Mansion 64 v0.41,
Luigi's Mansion 64 (by Crash),1.0,LinCrash,111,,Luigis Mansion 64 v1,
Luigi's Mansion 64 (by Crash),1.1,LinCrash,111,,Luigis Mansion 64 v1.1,
Luigi's Mansion 64 (by Crash),1.2,LinCrash,111,,Luigis Mansion 64 v1.2,
Luigi's Mansion 64 (by Crash),1.3,LinCrash,111,,Luigis Mansion 64 1.3,
Luigi's Mansion 64.5 [Easy Mode],,LinCrash,111,,Luigis Mansion 64.5 [Easy Mode],
Luigi's Mansion 64.5 [Easy Mode],1.2,LinCrash,111,,Luigis Mansion 64.5 [Easy Mode] 1.2,
Luigi's Mansion 64.5 [Easy Mode],1.3,LinCrash,111,,Luigis Mansion 64.5 [Easy Mode] 1.3,
Luigi's Mansion 64.5 [Super Player Mode],,LinCrash,111,,Luigis Mansion 64.5 [Super Player Mode],
Luigi's Mansion 64.5 [Super Player Mode],1.2,LinCrash,111,,Luigis Mansion 64.5 [Super Player Mode] 1.2,
Luigi's Mansion 64.5 [Super Player Mode],1.3,LinCrash,111,,Luigis Mansion 64.5 [Super Player Mode] 1.3,
Machinima Peach's Castle Extreme Makeover,1.0,TheAnkleDestroyer,,,Machinima Peachs Castle Extreme Makeover,
Malario TAS Adventure,1.0,Dar Gos & scuttlebug_raiser,3,,Malario TAS adventure,
Mari0 64,1.0,Kaze,0,,Mari0 64,
Mario Adventure,1.0.1,aglab2,130,2017-08-12,MarioAdventure101,
Mario Adventure,1.0.2,aglab2,130,2017-08-12,MarioAdventure102,
Mario Adventure,1.0.3,aglab2,130,2017-08-12,MarioAdventure103,
Mario Adventure,1.1,aglab2,130,2017-08-12,MarioAdventure11,
Mario Adventure,1.3,aglab2,130,2017-08-12,MarioAdventure13,
Mario Adventure,1.6,aglab2,130,2017-08-12,Mario Adventure v1.6,
Mario and the Magic Trials,1.0,scuttlebug_raiser,12,,Mario and the Magic Trials,
Mario and the Magic Wand,Demo 1,Kaze,30,2013-03-17,Mario and the Magic Wand demo1,
Mario Choir 64,1.0,StupidMarioBros1Fan,,,Mario Choir 64,
Mario DDR 64,0.2,Skelux,,,Mario DDR 64 V0.2,
Mario Don't Wear Ties,1.0,Don Camilo,46,2018-04-07,MARIO DONT WEAR TIES,
Mario Don't Wear Ties,1.1,Don Camilo,48,2018-04-07,Mario Dont Wear Ties v1.1,
Mario Heroes 64,1.0,aglab2,33,2017-03-26,MarioHeroes64,
Mario in the Distorted Realm,Demo,Galacta,32,,Mario in the Disorted Realm Demo,
Mario Jump Quest 64,1.0,Ethan White,8,,Mario Jump Quest 64,
Mario Jump Quest 64,1.1,Ethan White,8,,Mario Jump Quest 64 1.1,
Mario Mows His Lawn 64,1.0,SkyNigh,1,,Mario Mows His Lawn 64,
Mario on Indigo Island,1.1,usernamesarespiders,111,2018-11-19,Mario on Indigo Island 1.1,
Mario on Indigo Island,1.2b,usernamesarespiders,111,2018-11-19,Mario on Indigo Island 1.2b,
Mario on Indigo Island,1.3,usernamesarespiders & LinCrash,111,2018-11-19,Mario on Indigo Island 1.3,
Mario on Indigo Island,1.3c,usernamesarespiders & LinCrash,111,2018-11-19,Mario On Indigo Island 1.3c,
Mario Party 64,Demo,MrComit,7,,Mario Party 64 Demo,
Mario Party 64,1.0.1,MrComit,70,2020-02-16,Mario Party 64 1.01,
Mario Party 64,1.1.1,MrComit,70,2020-02-16,Mario Party 64 1.1.1,
